id,source_id,title,year,authors,venue,doi,keywords,cited_by_count,references_count,is_seed,openalex_url,scent_score,cluster,decision,note
doi:987aa410a56a7723,W2336811156,Stated preference methods and landscape ecology indicators: An example of transdisciplinarity in landscape economic valuation,2016,Alberto Longo | Carolina Tagliafierro | George Hutchinson | Marco Boeri,,,,,,,https://openalex.org/W2336811156,,,accepted,
doi:a5d6963a361b0e37,W2089603568,Transdisciplinarity in the class room? Simulating the co-production of sustainability knowledge,2014,Jörg Balsiger,,,,,,,https://openalex.org/W2089603568,,,undecided,
doi:466da5086a040e7a,W1562675196,A Unilateral Grading Contract to Improve Learning and Teaching,2009,Jane Danielewicz | Peter Elbow,,,,,,,https://openalex.org/W1562675196,,,undecided,
doi:5886cee791dd94a3,W1605255337,Designing and Developing Assessments of Complex Thinking in Mathematics for the Middle Grades,2015,Edith Aurora Graf | Meirav Arieli‐Attali,,,,,,,https://openalex.org/W1605255337,,,undecided,
doi:345013486c89d1f8,W3129309766,"Critical thinking, critical pedagogy and climate change education",2021,Gabriela Martínez Sainz | Rowan Oberman,,,,,,,https://openalex.org/W3129309766,,,undecided,
doi:7cb6e3b42aa78fcc,W2073331799,A Model for EFL Materials Development within the Framework of Critical Pedagogy (CP),2011,Faeze Safari | Nasser Rashidi,,,,,,,https://openalex.org/W2073331799,,,undecided,
doi:922325ccaafab773,W2156417821,Three Points Approach (3PA) for urban flood risk management: A tool to support climate change adaptation through transdisciplinarity and multifunctionality,2012,Chiara Farné Fratini | Govert D. Geldof | Jeroen Kluck | Peter Steen Mikkelsen,,,,,,,https://openalex.org/W2156417821,,,undecided,
doi:ae3fdbf73687ecc2,W27608418,Empowering education: critical teaching for social change,1993,,,,,,,,https://openalex.org/W27608418,,,undecided,
doi:5a9c7b91db61241a,W4243913760,Complejidad y transdisciplinariedad en el campo de la Salud Colectiva: evaluación de conceptos y aplicaciones,2006,Naomar de Almeida Filho,,,,,,,https://openalex.org/W4243913760,,,undecided,
doi:a0c5d6cdd6b682c4,W1591810203,Designing and Validating Assessments of Complex Thinking in Science,2015,Kihyun Ryoo | Marcia C. Linn,,,,,,,https://openalex.org/W1591810203,,,undecided,
doi:44effb455e7bbc1a,W1976350271,Unity and Transdisciplinarity,1993,Jürgen Mittelstraß,,,,,,,https://openalex.org/W1976350271,,,undecided,
doi:b25be7c7fec3dded,W3012261162,Critical pedagogy and curriculum transformation in Secondary Health and Physical Education,2020,Justen O’Connor | Laura Alfrey,,,,,,,https://openalex.org/W3012261162,,,undecided,
doi:fe0c588c54cd72d4,W2805320542,Close encounters with critical pedagogy in socio-critically informed health education teacher education,2018,Karen Shelley | Louise McCuaig,,,,,,,https://openalex.org/W2805320542,,,undecided,
doi:c46b4d5e263b3323,W1984985989,Phenomenon-Based Learning in Agroecology: A Prerequisite for Transdisciplinarity and Responsible Action,2012,Charles Francis | Edvin Østergaard | Geir Lieblein | Suzanne Morse | Tor Arvid Breland,,,,,,,https://openalex.org/W1984985989,,,undecided,
doi:f531cb082afead34,W3005803716,The Fault in our Systems: LMS as a Vehicle for Critical Pedagogy,2020,Haynes L. Chewning | Kathryn R. Green,,,,,,,https://openalex.org/W3005803716,,,undecided,
doi:9463a7fe74e279b5,W2089997225,Assessment: A critical perspective,2000,Kiran Trehan | Michael Reynolds,,,,,,,https://openalex.org/W2089997225,,,undecided,
doi:1de21b1f68ad9f5b,W4236930573,Critical Pedagogy: An Evaluation and a Direction for Reformulation,1997,S. Miedema | W.L. Wardekker,,,,,,,https://openalex.org/W4236930573,,,undecided,
doi:fb0657265e3c4e7c,W212037382,"The Ambivalence of Reflection: Critical Pedagogies, Identity, and the Writing Teacher",1999,Robert P. Yagelski,,,,,,,https://openalex.org/W212037382,,,undecided,
doi:6ed150e5f4585057,W2913836912,We are in need of each other. Paulo Freire and the role of conflicts in education,2019,Jan Pouwels,,,,,,,https://openalex.org/W2913836912,,,undecided,
doi:7de12eb20c727a2d,W2008232804,Systematization of Nursing Care in undergraduate training: the perspective of Complex Thinking,2015,Aida Maris Peres | Josilaine Porfírio da Silva | Mara Lúcia Garanhani,,,,,,,https://openalex.org/W2008232804,,,undecided,
doi:abc2128a4236ba12,W1537174669,LA SENSIBILIDAD INTERCULTURAL EN PAULO FREIRE,2011,Nubia Cecília Agudelo Cely,,,,,,,https://openalex.org/W1537174669,,,undecided,
doi:fba29ad0ec040d02,W2977326649,Can Complexity-Thinking Methods Contribute to Improving Occupational Safety in Industry 4.0? A Review of Safety Analysis Methods and Their Concepts,2019,Arie Adriaensen | Liliane Pintelon | Wilm Decré,,,,,,,https://openalex.org/W2977326649,,,accepted,
doi:894a5c7f4762ba64,W2523615018,What is critical about critical pedagogy? Conflicting conceptions of criticism in the curriculum,2016,Hanan A. Alexander,,,,,,,https://openalex.org/W2523615018,,,undecided,
doi:66e87fc3a1f218c4,W2072623443,Critical Pedagogy in a Bilingual Special Education Classroom,1995,Barbara S. C. Goldstein,,,,,,,https://openalex.org/W2072623443,,,undecided,
doi:483e2672662b28c0,W2004565968,A rose by any other name? Transdisciplinarity in the context of UK research policy,2014,Ann Bruce | Catherine Lyall | Laura Meagher,,,,,,,https://openalex.org/W2004565968,,,undecided,
doi:237c1ce71b2a7031,W3201204056,Critical Pedagogy and Children’s Beneficial Development,2021,Andres Pinedo | Nadia Vossoughi | Neil A. Lewis,,,,,,,https://openalex.org/W3201204056,,,accepted,
doi:ec44bc106ded721e,W3007682154,Transdisciplinariedad y la transversalidad,2019,Ayoub Settati | Isabel Guzmán Ibarra | Rigoberto Marín Uribe,,,,,,,https://openalex.org/W3007682154,,,undecided,
doi:1bb12bbb749a4105,W3001721604,"Integrative social robotics, value-driven design, and transdisciplinarity",2020,Christina Vestergaard | Johanna Seibt | Malene Flensborg Damholdt,,,,,,,https://openalex.org/W3001721604,,,accepted,
doi:6407cd64db103e7e,W3154876870,Education in rights and citizenship instruction: epistemic elucidation as from Paulo Freire,2021,Ana Beatriz Albuquerque Bento | Fernando da Silva Cardoso,,,,,,,https://openalex.org/W3154876870,,,undecided,
doi:ce36c35622f0d7ae,W1985209575,"Electronic literacy, critical pedagogy, and collaboration: A case for cyborg writing",1995,Carol Winkelmann,,,,,,,https://openalex.org/W1985209575,,,accepted,
